team1,team2,matchStartTime,team1score,team2score,homeodd,drawodd,awayodd,home_odd_win,draw_odd_win,away_odd_win,bookmakers_prediction
Aston Villa,Liverpool,17:00,1,0,3.36,3.36,2.16,1,0,0,0
Bolton,Manchester City,17:00,0,2,4.89,3.69,1.71,0,0,1,1
Everton,Chelsea,17:00,1,0,3.06,3.32,2.33,1,0,0,0
Fulham,Arsenal,17:00,2,2,3.91,3.55,1.92,0,1,0,0
Manchester Utd,Blackpool,17:00,4,2,1.42,4.81,6.73,1,0,0,1
Newcastle,West Brom,17:00,3,3,2.0,3.41,3.77,0,1,0,0
Stoke,Wigan,17:00,0,1,2.1,3.41,3.44,0,0,1,0
Tottenham,Birmingham,17:00,2,1,1.55,3.94,6.29,1,0,0,1
West Ham,Sunderland,17:00,0,3,1.9,3.6,3.88,0,0,1,0
Wolves,Blackburn,17:00,2,3,2.33,2.97,3.42,0,0,1,0
Manchester City,Stoke,20:45,3,0,1.4,4.47,8.2,1,0,0,1
Arsenal,Aston Villa,17:00,1,2,1.38,4.68,8.12,0,0,1,0
Birmingham,Fulham,17:00,0,2,2.19,3.23,3.42,0,0,1,0
Liverpool,Tottenham,17:00,0,2,1.63,3.78,5.63,0,0,1,0
Wigan,West Ham,17:00,3,2,1.85,3.61,4.16,1,0,0,1
Chelsea,Newcastle,14:30,2,2,1.22,6.16,13.5,0,1,0,0
Blackburn,Manchester Utd,13:45,1,1,6.2,3.43,1.66,0,1,0,0
Blackpool,Bolton,13:45,4,3,2.05,3.51,3.49,1,0,0,1
Sunderland,Wolves,13:45,1,3,2.89,3.23,2.48,0,0,1,1
West Brom,Everton,13:45,1,0,2.65,3.22,2.68,1,0,0,1
Manchester City,Tottenham,20:45,1,0,1.93,3.36,4.08,1,0,0,1
Fulham,Liverpool,21:00,2,5,2.79,3.18,2.6,0,0,1,1
Manchester Utd,Chelsea,17:10,2,1,2.3,3.15,3.29,1,0,0,1
Stoke,Arsenal,15:05,3,1,4.27,3.41,1.88,1,0,0,0
Wolves,West Brom,13:00,3,1,2.33,3.3,3.07,1,0,0,1
Tottenham,Blackpool,18:30,1,1,1.31,5.45,8.98,0,1,0,0
Aston Villa,Wigan,16:00,1,1,1.74,3.61,4.85,0,1,0,0
Bolton,Sunderland,16:00,1,2,1.73,3.51,5.06,0,0,1,0
Everton,Manchester City,16:00,2,1,2.48,3.23,2.9,1,0,0,1
Newcastle,Birmingham,16:00,2,1,1.84,3.44,4.51,1,0,0,1
West Ham,Blackburn,16:00,1,1,2.07,3.35,3.64,0,1,0,0
Manchester City,West Ham,17:10,2,1,1.36,4.62,9.13,1,0,0,1
Arsenal,Manchester Utd,15:05,1,0,2.69,3.19,2.76,1,0,0,1
Birmingham,Wolves,13:00,1,1,2.13,3.3,3.53,0,1,0,0
Liverpool,Newcastle,13:00,3,0,1.46,4.13,7.56,1,0,0,1
Chelsea,Tottenham,18:30,2,1,1.5,4.18,6.96,1,0,0,1
Blackburn,Bolton,16:00,1,0,1.88,3.47,4.13,1,0,0,1
Blackpool,Stoke,16:00,0,0,2.67,3.44,2.56,0,1,0,0
Sunderland,Fulham,16:00,0,3,2.73,3.13,2.69,0,0,1,1
West Brom,Aston Villa,16:00,2,1,2.47,3.22,2.89,1,0,0,1
Wigan,Everton,16:00,1,1,3.06,3.2,2.39,0,1,0,0
Fulham,Bolton,21:00,3,0,1.76,3.59,4.68,1,0,0,1
Stoke,Wolves,20:45,3,0,1.76,3.47,4.95,1,0,0,1
Blackburn,Manchester City,21:00,0,1,4.04,3.48,1.9,0,0,1,1
Bolton,Arsenal,17:00,2,1,5.51,3.89,1.61,1,0,0,0
Chelsea,West Ham,18:30,3,0,1.19,6.71,14.85,1,0,0,1
Aston Villa,Stoke,16:00,1,1,2.1,3.19,3.7,0,1,0,0
Liverpool,Birmingham,16:00,5,0,1.5,3.99,7.29,1,0,0,1
Tottenham,West Brom,16:00,2,2,1.52,4.08,6.4,0,1,0,0
Wolves,Fulham,16:00,1,1,2.46,3.24,2.91,0,1,0,0
Blackpool,Newcastle,16:00,1,1,2.83,3.38,2.45,0,1,0,0
Sunderland,Wigan,16:00,4,2,2.09,3.27,3.62,1,0,0,1
Manchester Utd,Everton,13:45,1,0,1.53,3.81,7.0,1,0,0,1
Chelsea,Birmingham,20:45,3,1,1.19,6.3,16.1,1,0,0,1
Tottenham,Arsenal,20:45,3,3,2.89,3.3,2.43,0,1,0,0
Newcastle,Manchester Utd,20:45,0,0,5.53,3.71,1.64,0,1,0,0
Arsenal,Liverpool,17:00,1,1,1.72,3.72,4.98,0,1,0,0
Birmingham,Sunderland,16:00,2,0,2.03,3.3,3.79,1,0,0,1
Blackpool,Wigan,16:00,1,3,2.36,3.4,2.92,0,0,1,0
Everton,Blackburn,16:00,2,0,1.7,3.59,5.23,1,0,0,1
West Brom,Chelsea,16:00,1,3,5.08,3.63,1.71,0,0,1,1
West Ham,Aston Villa,16:00,1,2,2.35,3.29,3.0,0,0,1,0
Liverpool,Manchester City,21:00,3,0,2.55,3.21,2.82,1,0,0,1
Aston Villa,Newcastle,17:00,1,0,1.69,3.75,5.03,1,0,0,1
Blackpool,Arsenal,14:30,1,3,7.12,4.48,1.44,0,0,1,1
Blackburn,Birmingham,16:00,1,1,1.94,3.36,4.06,0,1,0,0
Bolton,West Ham,16:00,3,0,2.35,3.24,3.05,1,0,0,1
Chelsea,Wigan,16:00,1,0,1.22,5.84,15.36,1,0,0,1
Manchester Utd,Fulham,16:00,2,0,1.44,4.26,7.65,1,0,0,1
Sunderland,West Brom,16:00,2,3,2.23,3.27,3.28,0,0,1,0
Tottenham,Stoke,16:00,3,2,1.66,3.7,5.4,1,0,0,1
Wolves,Everton,13:45,0,3,2.43,3.27,2.93,0,0,1,0
Manchester City,Sunderland,17:00,5,0,1.45,4.22,7.37,1,0,0,1
Fulham,Blackpool,14:30,3,0,1.47,4.33,6.75,1,0,0,1
Arsenal,Blackburn,18:30,0,0,1.22,6.25,12.7,0,1,0,0
Birmingham,Bolton,16:00,2,1,2.39,3.28,2.97,1,0,0,1
Everton,Aston Villa,16:00,2,2,2.04,3.31,3.78,0,1,0,0
Newcastle,Wolves,16:00,4,1,2.03,3.35,3.72,1,0,0,1
Stoke,Chelsea,16:00,1,1,5.46,3.6,1.67,0,1,0,0
West Brom,Liverpool,16:00,2,1,3.23,3.26,2.27,1,0,0,0
Wigan,Tottenham,16:00,0,0,3.15,3.32,2.28,0,1,0,0
West Ham,Manchester Utd,13:45,2,4,3.97,3.37,1.97,0,0,1,1
Chelsea,Manchester City,17:00,2,0,1.62,3.82,5.6,1,0,0,1
Sunderland,Liverpool,14:30,0,2,2.75,3.23,2.6,0,0,1,1
Everton,Fulham,18:30,2,1,2.01,3.25,3.93,1,0,0,1
Aston Villa,Wolves,16:00,0,1,1.95,3.37,4.0,0,0,1,0
Blackburn,Blackpool,16:00,2,2,1.74,3.78,4.53,0,1,0,0
Manchester Utd,Bolton,16:00,1,0,1.39,4.43,8.71,1,0,0,1
Stoke,Newcastle,16:00,4,0,2.16,3.2,3.53,1,0,0,1
West Brom,Arsenal,16:00,2,2,4.26,3.48,1.86,0,1,0,0
